c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
B,B,R,Y,O,G,Y,P,R,a
G,B,Y,O,Y,B,R,P,R,a
B,P,O,R,R,G,Y,B,Y,a
B,G,Y,R,B,P,O,Y,R,a
B,G,Y,R,Y,P,O,B,R,a
B,O,G,Y,Y,R,B,P,R,a
B,G,Y,O,P,Y,R,R,B,a
B,B,P,O,R,G,Y,Y,R,a
P,B,Y,R,B,O,R,G,Y,a
B,B,Y,Y,R,O,R,G,P,a
B,B,Y,Y,R,P,O,G,R,a
G,B,R,B,Y,O,Y,P,R,a
B,G,R,R,B,Y,P,O,Y,a
B,O,G,R,Y,Y,R,P,B,a
B,O,G,Y,R,P,R,Y,B,a
B,P,R,R,O,G,Y,B,Y,a
B,B,Y,G,R,Y,O,P,R,a
G,B,R,Y,B,P,R,O,Y,a
B,G,R,O,B,Y,Y,R,P,a
B,O,G,P,Y,Y,B,R,R,a
B,G,Y,Y,P,B,R,O,R,a
B,B,Y,P,R,R,O,G,Y,a
B,G,O,P,R,R,Y,Y,B,a
B,O,P,Y,Y,G,R,B,R,a
B,O,Y,P,R,R,G,Y,B,a
B,B,R,G,Y,P,O,Y,R,a
B,P,G,Y,B,R,Y,O,R,a
B,O,P,R,R,B,Y,G,Y,a
B,G,O,Y,B,P,R,R,Y,a
B,P,R,Y,R,G,B,Y,O,a
B,G,O,Y,Y,R,R,P,B,a
B,B,Y,G,O,P,R,R,Y,a
B,P,R,R,B,G,O,Y,Y,a
B,B,R,P,R,Y,Y,G,O,a
B,G,P,R,R,O,B,Y,Y,a
B,O,P,R,Y,G,B,R,Y,a
B,R,Y,Y,B,G,R,O,P,a
B,O,R,R,Y,G,B,Y,P,a
B,O,Y,R,Y,B,G,P,R,a
B,G,Y,Y,P,O,B,R,R,a
B,G,Y,R,Y,R,P,O,B,a
B,P,Y,R,Y,G,B,R,O,a
B,B,Y,O,R,Y,G,P,R,a
O,P,R,R,B,B,Y,G,Y,a
B,B,P,O,Y,R,R,G,Y,a
B,O,Y,R,R,G,B,Y,P,a
B,G,B,P,O,Y,R,Y,R,a
B,G,Y,R,B,O,P,R,Y,a
B,O,Y,R,Y,G,P,B,R,a
B,P,O,Y,Y,G,R,B,R,a
B,P,G,R,B,O,Y,Y,R,a
B,P,G,R,B,O,R,Y,Y,a
B,P,G,R,B,Y,Y,O,R,a
B,G,P,O,R,R,Y,B,Y,a
B,O,Y,R,P,G,Y,B,R,a
P,G,Y,R,B,B,Y,O,R,a
B,R,Y,Y,B,P,R,G,O,a
B,B,R,P,Y,R,Y,G,O,a
B,O,Y,Y,R,P,R,B,G,a
B,B,Y,P,G,O,R,R,Y,a
B,B,Y,O,G,R,Y,P,R,a
B,P,R,Y,G,O,R,B,Y,a
B,B,G,Y,R,O,R,P,Y,a
B,G,R,Y,P,B,Y,O,R,a
B,G,Y,R,Y,O,R,B,P,a
O,P,R,Y,B,B,Y,G,R,a
B,G,Y,R,B,Y,P,O,R,a
G,O,Y,R,B,P,Y,B,R,a
B,O,G,Y,R,B,Y,P,R,a
B,G,P,Y,Y,R,B,O,R,a
B,O,G,P,R,Y,R,B,Y,a
B,G,Y,R,R,B,P,O,Y,a
B,B,G,P,Y,O,R,Y,R,a
B,O,G,P,Y,B,R,R,Y,a
B,G,B,O,R,Y,Y,R,P,a
B,G,R,Y,O,Y,B,P,R,a
B,B,G,O,R,P,R,Y,Y,a
B,B,R,G,P,Y,Y,O,R,a
B,G,O,P,Y,Y,B,R,R,a
