c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
B,B,P,O,W,R,O,Y,Y,a
B,B,Y,O,W,R,P,O,G,a
B,B,G,O,W,R,Y,P,O,a
B,B,P,Y,W,G,R,O,O,a
B,B,R,Y,W,G,G,O,R,a
B,O,Y,R,W,G,B,R,P,a
B,O,G,O,W,B,Y,R,R,a
G,B,R,Y,W,O,Y,R,P,a
B,O,R,Y,W,Y,B,P,O,a
B,P,B,P,W,R,O,Y,Y,a
B,P,G,Y,W,Y,P,O,R,a
G,P,Y,R,W,R,P,G,Y,a
O,B,Y,P,W,R,P,G,Y,a
O,B,R,G,W,R,P,G,Y,a
B,G,P,O,W,R,G,Y,R,a
B,B,G,Y,W,O,R,R,O,a
G,P,P,Y,W,R,R,G,Y,a
B,B,O,Y,W,G,R,O,R,a
B,B,Y,R,W,O,P,Y,O,a
P,G,R,P,W,B,R,Y,Y,a
B,G,B,R,W,Y,P,R,O,a
B,G,O,O,W,R,P,B,Y,a
B,B,G,O,W,O,P,R,Y,a
B,B,G,R,W,O,R,Y,G,a
B,P,Y,R,W,G,P,Y,O,a
G,G,P,R,W,O,R,B,Y,a
B,B,Y,O,W,Y,R,P,G,a
B,P,G,P,W,Y,O,R,Y,a
B,O,G,P,W,B,O,R,Y,a
B,G,O,O,W,Y,R,R,B,a
B,O,R,R,W,B,P,Y,G,a
G,B,R,O,W,B,P,O,Y,a
B,P,R,R,W,Y,Y,G,O,a
B,O,G,R,W,Y,R,P,G,a
B,G,Y,R,W,B,O,P,R,a
B,G,Y,R,W,G,R,Y,P,a
B,G,G,Y,W,R,P,O,R,a
B,P,Y,Y,W,G,O,R,R,a
B,B,Y,Y,W,O,G,P,R,a
G,B,R,P,W,Y,G,O,R,a
P,B,R,P,W,B,Y,O,Y,a
B,G,O,R,W,B,G,O,R,a
B,G,O,R,W,B,R,Y,P,a
B,B,O,G,W,G,O,R,R,a
P,B,R,Y,W,G,Y,R,P,a
B,G,Y,R,W,Y,P,R,P,a
B,P,G,Y,W,B,O,R,R,a
B,B,G,R,W,O,O,Y,R,a
B,P,O,Y,W,R,R,G,Y,a
B,B,O,Y,W,R,Y,P,G,a
B,R,G,R,W,G,P,O,Y,a
B,G,R,Y,W,B,P,O,O,a
P,B,Y,O,W,R,Y,G,P,a
B,P,Y,Y,W,R,G,O,P,a
B,O,R,R,W,Y,G,P,G,a
B,O,G,R,W,Y,Y,P,P,a
O,G,R,G,W,R,Y,B,P,a
G,O,R,P,W,B,O,B,Y,a
B,G,O,P,W,Y,G,R,R,a
B,O,R,Y,W,B,P,O,G,a
B,P,P,R,W,Y,G,Y,R,a
G,P,R,Y,W,B,Y,P,O,a
G,P,G,R,W,Y,R,P,Y,a
B,G,Y,O,W,R,P,R,B,a
O,B,P,R,W,G,Y,Y,R,a
G,B,Y,R,W,O,G,P,R,a
G,B,Y,Y,W,P,R,P,O,a
B,P,O,Y,W,O,R,B,Y,a
B,G,P,R,W,Y,B,R,O,a
B,O,G,P,W,Y,P,Y,R,a
B,P,O,P,W,R,Y,Y,G,a
B,B,O,G,W,R,Y,R,G,a
P,G,Y,R,W,R,Y,G,P,a
